# ----------------------------------------,,,,,,,,,,
# Report CSV Export,,,,,,,,,,
# Account: NSTEM,,,,,,,,,,
# Property: NSTEM Website - GA4,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
# ,,,,,,,,,,
# All Users,,,,,,,,,,
# Start date: 20230625,,,,,,,,,,
# End date: 20230702,,,,,,,,,,
,,,,,,,,,,
Session default channel group,Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Conversions,Total revenue
Organic Search,309,482,323,60.79045643,1.045307443,6.682572614,0.670124481,3221,0,0
Direct,175,243,128,44.22222222,0.731428571,6.95473251,0.526748971,1690,0,0
Referral,88,148,105,72.53378378,1.193181818,10.45945946,0.709459459,1548,0,0
Organic Social,17,25,15,64.08,0.882352941,12.04,0.6,301,0,0
Unassigned,5,6,0,15.33333333,0,3,0,18,0,0
Email,2,3,2,17,1,4.333333333,0.666666667,13,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Engagement rates compare ,,,,,,,,,,
6/25-7/2,,,,,,,,,,
0.670124481,,,,,,,,,,
0.526748971,,,,,,,,,,
0.709459459,,,,,,,,,,
0.6,,,,,,,,,,
0,,,,,,,,,,
0.666666667,,,,,,,,,,
